"","id","release_year_tv","age_rating_tv","rotten_tomatoes_tv","tomato_category_tv","netflix_tv","hulu_tv","prime_video_tv","disney_tv","all_platforms_tv"
"243",1015,2021,"7+",52,"rotten","netflix_show","","","","netflix_show"
"244",1019,2021,"7+",52,"rotten","netflix_show","","","","netflix_show"
"245",1020,2020,"unknown",52,"rotten","netflix_show","","","","netflix_show"
"246",1021,2020,"all",52,"rotten","netflix_show","","","","netflix_show"
"247",1022,2020,"18+",52,"rotten","netflix_show","","","","netflix_show"
"248",1023,2020,"18+",52,"rotten","netflix_show","","prime_video_show","","multi_platform_show"
"249",1028,2020,"18+",52,"rotten","netflix_show","","","","netflix_show"
"250",1030,2021,"all",52,"rotten","netflix_show","","","","netflix_show"
"251",1031,2020,"16+",52,"rotten","netflix_show","","","","netflix_show"
"252",1036,2020,"18+",52,"rotten","netflix_show","","","","netflix_show"
"253",1038,2020,"16+",52,"rotten","netflix_show","","","","netflix_show"
"254",1041,2020,"unknown",51,"rotten","netflix_show","","","","netflix_show"
"255",1057,2020,"all",51,"rotten","netflix_show","","","","netflix_show"
"256",1058,2021,"unknown",51,"rotten","netflix_show","","","","netflix_show"
"257",1061,2021,"unknown",51,"rotten","netflix_show","","","","netflix_show"
"258",1066,2020,"7+",51,"rotten","netflix_show","","","","netflix_show"
"259",1069,2020,"unknown",51,"rotten","netflix_show","","","","netflix_show"
"260",1073,2020,"18+",51,"rotten","netflix_show","","","","netflix_show"
"261",1076,2020,"unknown",51,"rotten","netflix_show","","","","netflix_show"
"262",1078,2020,"unknown",51,"rotten","netflix_show","","","","netflix_show"
"263",1086,2020,"all",51,"rotten","netflix_show","","","","netflix_show"
"264",1087,2020,"18+",51,"rotten","netflix_show","","","","netflix_show"
"265",1088,2020,"all",51,"rotten","netflix_show","","","","netflix_show"
"266",1099,2021,"18+",50,"rotten","netflix_show","","","","netflix_show"
"267",1103,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"268",1107,2021,"18+",50,"rotten","netflix_show","","","","netflix_show"
"269",1114,2020,"18+",50,"rotten","netflix_show","","","","netflix_show"
"270",1115,2021,"18+",50,"rotten","netflix_show","","","","netflix_show"
"271",1117,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"272",1118,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"273",1122,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"274",1123,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"275",1128,2020,"7+",50,"rotten","netflix_show","","","","netflix_show"
"276",1129,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"277",1133,2020,"16+",50,"rotten","netflix_show","","","","netflix_show"
"278",1138,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"279",1140,2020,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"280",1146,2021,"unknown",50,"rotten","netflix_show","","","","netflix_show"
"281",1147,2021,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"282",1148,2020,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"283",1149,2020,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"284",1151,2020,"18+",49,"rotten","netflix_show","","","","netflix_show"
"285",1153,2020,"18+",49,"rotten","netflix_show","","","","netflix_show"
"286",1154,2020,"18+",49,"rotten","netflix_show","","","","netflix_show"
"287",1159,2021,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"288",1164,2020,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"289",1179,2021,"7+",49,"rotten","netflix_show","","","","netflix_show"
"290",1180,2020,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"291",1181,2021,"7+",49,"rotten","netflix_show","","prime_video_show","","multi_platform_show"
"292",1182,2020,"18+",49,"rotten","netflix_show","hulu_show","","","multi_platform_show"
"293",1185,2021,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"294",1187,2020,"unknown",49,"rotten","netflix_show","","","","netflix_show"
"295",1192,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"296",1193,2021,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"297",1195,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"298",1201,2020,"all",48,"rotten","netflix_show","","","","netflix_show"
"299",1202,2021,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"300",1209,2021,"7+",48,"rotten","netflix_show","","","","netflix_show"
"301",1211,2021,"18+",48,"rotten","netflix_show","","","","netflix_show"
"302",1212,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"303",1214,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"304",1221,2020,"18+",48,"rotten","netflix_show","","","","netflix_show"
"305",1225,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"306",1230,2021,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"307",1236,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"308",1238,2021,"7+",48,"rotten","netflix_show","","","","netflix_show"
"309",1244,2020,"unknown",48,"rotten","netflix_show","","","","netflix_show"
"310",1257,2021,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"311",1258,2021,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"312",1259,2021,"16+",47,"rotten","netflix_show","","","","netflix_show"
"313",1263,2020,"16+",47,"rotten","netflix_show","","","","netflix_show"
"314",1264,2020,"all",47,"rotten","netflix_show","","","","netflix_show"
"315",1265,2020,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"316",1268,2021,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"317",1271,2020,"all",47,"rotten","netflix_show","","","","netflix_show"
"318",1273,2020,"unknown",47,"rotten","netflix_show","","","","netflix_show"
"319",1275,2021,"unknown",47,"rotten","netflix_show","","","","netflix_show"
